GP,Date,,Opponent,GF,GA,,,W,L,Streak,Att.,LOG,Notes
1,2018-04-12,,Toronto Maple Leafs,5,1,W,,1,0,W 1,17565,2:35,
2,2018-04-14,,Toronto Maple Leafs,7,3,W,,2,0,W 2,17565,2:42,
3,2018-04-16,@,Toronto Maple Leafs,2,4,L,,2,1,L 1,19663,2:43,
4,2018-04-19,@,Toronto Maple Leafs,3,1,W,,3,1,W 1,19689,2:36,
5,2018-04-21,,Toronto Maple Leafs,3,4,L,,3,2,L 1,17565,2:40,
6,2018-04-23,@,Toronto Maple Leafs,1,3,L,,3,3,L 2,19604,2:43,
7,2018-04-25,,Toronto Maple Leafs,7,4,W,,4,3,W 1,17565,2:42,
8,2018-04-28,@,Tampa Bay Lightning,6,2,W,,5,3,W 2,19092,2:30,
9,2018-04-30,@,Tampa Bay Lightning,2,4,L,,5,4,L 1,19092,2:36,
10,2018-05-02,,Tampa Bay Lightning,1,4,L,,5,5,L 2,17565,2:34,
11,2018-05-04,,Tampa Bay Lightning,3,4,L,OT,5,6,L 3,17565,2:55,
12,2018-05-06,@,Tampa Bay Lightning,1,3,L,,5,7,L 4,19092,2:37,