GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
1,2017-10-05,,Nashville Predators,4,3,W,,1,0,0,W 1,17565,2:39,
2,2017-10-09,,Colorado Avalanche,0,4,L,,1,1,0,L 1,17565,2:28,
3,2017-10-11,@,Colorado Avalanche,3,6,L,,1,2,0,L 2,18011,2:38,
4,2017-10-14,@,Arizona Coyotes,6,2,W,,2,2,0,W 1,14810,2:31,
5,2017-10-15,@,Vegas Golden Knights,1,3,L,,2,3,0,L 1,17562,2:31,
6,2017-10-19,,Vancouver Canucks,6,3,W,,3,3,0,W 1,17565,2:34,
7,2017-10-21,,Buffalo Sabres,4,5,L,OT,3,3,1,L 1,17565,2:43,
8,2017-10-26,,San Jose Sharks,2,1,W,,4,3,1,W 1,17565,2:31,
9,2017-10-28,,Los Angeles Kings,1,2,L,OT,4,3,2,L 1,17565,2:47,
10,2017-10-30,@,Columbus Blue Jackets,3,4,L,SO,4,3,3,L 2,13396,2:42,
11,2017-11-02,,Vegas Golden Knights,2,1,W,,5,3,3,W 1,17565,2:27,
12,2017-11-04,,Washington Capitals,2,3,L,,5,4,3,L 1,17565,2:26,
13,2017-11-06,,Minnesota Wild,5,3,W,,6,4,3,W 1,17565,2:40,
14,2017-11-08,@,New York Rangers,2,4,L,,6,5,3,L 1,18006,2:25,
15,2017-11-10,@,Toronto Maple Leafs,2,3,L,OT,6,5,4,L 2,19381,2:53,
16,2017-11-11,,Toronto Maple Leafs,1,4,L,,6,6,4,L 3,17565,2:34,
17,2017-11-15,@,Anaheim Ducks,2,4,L,,6,7,4,L 4,15089,2:30,
18,2017-11-16,@,Los Angeles Kings,2,1,W,,7,7,4,W 1,18230,2:36,
19,2017-11-18,@,San Jose Sharks,3,1,W,,8,7,4,W 2,17442,2:36,
20,2017-11-22,@,New Jersey Devils,3,2,W,SO,9,7,4,W 3,16514,2:51,
21,2017-11-24,,Pittsburgh Penguins,4,3,W,,10,7,4,W 4,17565,2:34,
22,2017-11-26,,Edmonton Oilers,2,4,L,,10,8,4,L 1,17565,2:20,
23,2017-11-29,,Tampa Bay Lightning,3,2,W,,11,8,4,W 1,17565,2:41,
24,2017-12-02,@,Philadelphia Flyers,3,0,W,,12,8,4,W 2,19274,2:24,
25,2017-12-04,@,Nashville Predators,3,5,L,,12,9,4,L 1,17113,2:38,
26,2017-12-07,,Arizona Coyotes,6,1,W,,13,9,4,W 1,17565,2:32,
27,2017-12-09,,New York Islanders,3,1,W,,14,9,4,W 2,17565,2:31,
28,2017-12-13,@,Detroit Red Wings,3,2,W,OT,15,9,4,W 3,19515,2:34,
29,2017-12-14,,Washington Capitals,3,5,L,,15,10,4,L 1,17565,2:37,
30,2017-12-16,,New York Rangers,2,3,L,OT,15,10,5,L 2,17565,2:38,
31,2017-12-18,,Columbus Blue Jackets,7,2,W,,16,10,5,W 1,17565,2:35,
32,2017-12-19,@,Buffalo Sabres,3,0,W,,17,10,5,W 2,17811,2:28,
33,2017-12-21,,Winnipeg Jets,2,1,W,SO,18,10,5,W 3,17565,2:41,
34,2017-12-23,,Detroit Red Wings,3,1,W,,19,10,5,W 4,17565,2:27,
35,2017-12-27,,Ottawa Senators,5,1,W,,20,10,5,W 5,17565,2:19,
36,2017-12-28,@,Washington Capitals,3,4,L,SO,20,10,6,L 1,18506,2:46,
37,2017-12-30,@,Ottawa Senators,5,0,W,,21,10,6,W 1,17579,2:26,
38,2018-01-02,@,New York Islanders,5,1,W,,22,10,6,W 2,11878,2:23,
39,2018-01-06,,Carolina Hurricanes,7,1,W,,23,10,6,W 3,17565,2:25,
40,2018-01-07,@,Pittsburgh Penguins,5,6,L,OT,23,10,7,L 1,18553,2:36,
41,2018-01-13,@,Montreal Canadiens,4,3,W,SO,24,10,7,W 1,21302,2:59,
42,2018-01-15,,Dallas Stars,2,3,L,OT,24,10,8,L 1,17565,2:40,
43,2018-01-17,,Montreal Canadiens,4,1,W,,25,10,8,W 1,17565,2:32,
44,2018-01-18,@,New York Islanders,5,2,W,,26,10,8,W 2,11803,2:26,
45,2018-01-20,@,Montreal Canadiens,4,1,W,,27,10,8,W 3,21302,2:44,
46,2018-01-23,,New Jersey Devils,3,2,W,,28,10,8,W 4,17565,2:45,
47,2018-01-25,@,Ottawa Senators,3,2,W,,29,10,8,W 5,15232,2:27,
48,2018-01-30,,Anaheim Ducks,1,3,L,,29,11,8,L 1,17565,2:32,
49,2018-02-01,,St. Louis Blues,3,1,W,,30,11,8,W 1,17565,2:32,
50,2018-02-03,,Toronto Maple Leafs,4,1,W,,31,11,8,W 2,17565,2:31,
51,2018-02-06,@,Detroit Red Wings,3,2,W,,32,11,8,W 3,19515,2:26,
52,2018-02-07,@,New York Rangers,6,1,W,,33,11,8,W 4,18006,2:21,
53,2018-02-10,,Buffalo Sabres,2,4,L,,33,12,8,L 1,17565,2:27,
54,2018-02-11,@,New Jersey Devils,5,3,W,,34,12,8,W 1,16514,2:34,
55,2018-02-13,,Calgary Flames,5,2,W,,35,12,8,W 2,17565,2:33,
56,2018-02-17,@,Vancouver Canucks,1,6,L,,35,13,8,L 1,18865,2:28,
57,2018-02-19,@,Calgary Flames,2,1,W,OT,36,13,8,W 1,19289,2:35,
58,2018-02-20,@,Edmonton Oilers,3,2,W,,37,13,8,W 2,18347,2:29,
59,2018-02-24,@,Toronto Maple Leafs,3,4,L,,37,14,8,L 1,19370,2:35,
60,2018-02-25,@,Buffalo Sabres,1,4,L,,37,15,8,L 2,18522,2:28,
61,2018-02-27,,Carolina Hurricanes,4,3,W,OT,38,15,8,W 1,17565,2:31,
62,2018-03-01,,Pittsburgh Penguins,8,4,W,,39,15,8,W 2,17565,2:49,
63,2018-03-03,,Montreal Canadiens,2,1,W,OT,40,15,8,W 3,17565,2:41,
64,2018-03-06,,Detroit Red Wings,6,5,W,OT,41,15,8,W 4,17565,2:43,
65,2018-03-08,,Philadelphia Flyers,3,2,W,,42,15,8,W 5,17565,2:33,
66,2018-03-10,,Chicago Blackhawks,7,4,W,,43,15,8,W 6,17565,2:33,
67,2018-03-11,@,Chicago Blackhawks,1,3,L,,43,16,8,L 1,21819,2:27,
68,2018-03-13,@,Carolina Hurricanes,6,4,W,,44,16,8,W 1,13081,2:40,
69,2018-03-15,@,Florida Panthers,0,3,L,,44,17,8,L 1,16067,2:35,
70,2018-03-17,@,Tampa Bay Lightning,3,0,W,,45,17,8,W 1,19092,2:22,
71,2018-03-19,,Columbus Blue Jackets,4,5,L,OT,45,17,9,L 1,17565,2:34,
72,2018-03-21,@,St. Louis Blues,1,2,L,OT,45,17,10,L 2,18423,2:26,
73,2018-03-23,@,Dallas Stars,3,2,W,,46,17,10,W 1,18532,2:34,
74,2018-03-25,@,Minnesota Wild,2,1,W,OT,47,17,10,W 2,19183,2:33,
75,2018-03-27,@,Winnipeg Jets,4,5,L,SO,47,17,11,L 1,15321,3:16,
76,2018-03-29,,Tampa Bay Lightning,4,2,W,,48,17,11,W 1,17565,2:50,
77,2018-03-31,,Florida Panthers,5,1,W,,49,17,11,W 2,17565,2:43,
78,2018-04-01,@,Philadelphia Flyers,3,4,L,OT,49,17,12,L 1,19904,2:29,
79,2018-04-03,@,Tampa Bay Lightning,0,4,L,,49,18,12,L 2,19092,2:30,
80,2018-04-05,@,Florida Panthers,2,3,L,,49,19,12,L 3,14860,2:34,
81,2018-04-07,,Ottawa Senators,5,2,W,,50,19,12,W 1,17565,2:27,
82,2018-04-08,,Florida Panthers,2,4,L,,50,20,12,L 1,17565,2:30,